# List of parameters used for this run.
n_cont= 20
sigma_noise= 5.67
sigma_cut= 22.68
sigma_tail= 11.34
len_min= 50
abnormal_f= 5000
abnormal_x= 5000
dx_interp= 1
l_p= 0.4
F_min= 30
F_max= 500
lim_p_max= 0.01
peak_width= 75
bin_width= 8
score_threshold= 0.5
delta1= 0.002
delta2= 0.8
F_scoring= 22.68
peaks_diff= 10000
len_diff= 0.2
Npeaks_min= 1
Npeaks_max= 100000
kNN= 6
r_cut= 0.3
Total number of traces passing the quality filter= 261
#COL2 	 Trace number
#COL3 	 Length [nm]
#COL4 	 Quality score
#COL5 	 Number of peaks
#COL6 	 Cluster number (=0 if COL6>r_cut)
#COL7 	 Cluster number without filters
#COL8 	 Distance from cluster center
tr 1	227	213.711	6	0	3	5
tr 2	232	205.705	6	0	2	0.465444
tr 3	237	171	4	0	3	5
tr 4	231	172.255	4	2	2	0.288262
tr 6	207	153.33	5	4	4	0.243789
tr 8	236	120.351	4	2	2	0.293581
tr 10	229	193	4	5	5	0
tr 12	227	162.001	5	2	2	0.216229
tr 13	252	192	5	0	3	5
tr 14	197	113	2	0	4	0.413677
tr 15	277	171.982	5	0	14	0.408314
tr 16	246	208.614	5	0	3	5
tr 17	264	197.798	6	0	3	5
tr 18	234	186.684	5	2	2	0.206334
tr 19	215	163.309	5	4	4	0
tr 20	242	182.142	5	2	2	0.275368
tr 22	236	176.255	5	0	3	5
tr 24	267	158.027	4	0	3	5
tr 25	283	186.834	4	14	14	0.293747
tr 26	276	209.24	7	14	14	0.240277
tr 27	275	248.323	6	0	14	0.315556
tr 28	230	188.834	5	2	2	0.251044
tr 29	268	210.849	6	0	7	0.309018
tr 30	226	168.741	6	0	2	0.421625
tr 31	233	194.78	7	13	13	0
tr 32	241	150	3	0	3	5
tr 33	214	115.081	3	0	2	0.416133
tr 34	252	165.047	5	10	10	0
tr 35	244	148.893	3	0	3	5
tr 38	255	183.023	5	0	3	5
tr 40	242	140.079	5	2	2	0.291116
tr 42	270	171.249	5	0	3	5
tr 43	218	197	5	0	2	0.313605
tr 44	259	235.91	6	0	3	5
tr 47	246	163	3	0	3	5
tr 48	237	119	2	2	2	0.187297
tr 50	243	233.569	8	0	2	0.362218
tr 51	223	145	4	0	2	0.316012
